inputId,age,age_cat,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,sex,race-name,two_year_recid
0,34,25 - 45,0,Poss Contr Subst W/o Prescript,0,0,0,0,1,0,Caucasian,0
1,50,Greater than 45,1,Petit Theft,0,0,0,9,1,0,Caucasian,1
2,34,25 - 45,1,Possession of Cocaine,0,0,0,9,0,1,African-American,0
3,33,25 - 45,1,Possession of Cocaine,0,0,0,6,0,1,African-American,0
4,35,25 - 45,1,Burglary Assault/Battery Armed,0,0,0,1,0,0,African-American,0
5,31,25 - 45,1,Possession of Cocaine,0,0,0,2,1,1,Caucasian,0
6,29,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,1,0,1,African-American,0
7,32,25 - 45,0,Burglary Assault/Battery Armed,0,0,0,5,0,1,African-American,0
8,28,25 - 45,0,Battery,0,0,0,3,0,1,African-American,1
9,28,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,8,0,1,African-American,1
10,32,25 - 45,1,Viol Injunction Protect Dom Vi,0,0,0,0,0,0,African-American,0
11,50,Greater than 45,1,Viol Injunction Protect Dom Vi,0,0,0,1,0,1,African-American,0
12,31,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,3,1,1,Caucasian,1
13,35,25 - 45,1,Fail Register Vehicle,0,0,0,1,1,0,Caucasian,0
14,30,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,3,0,1,African-American,0
15,31,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,6,0,1,African-American,1
16,35,25 - 45,1,Burglary Assault/Battery Armed,0,0,0,4,0,0,African-American,0
17,21,Less than 25,1,Possession Of Alprazolam,0,0,0,2,0,1,African-American,1
18,28,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,6,0,1,African-American,1
19,50,Greater than 45,0,Battery,0,0,0,1,0,1,African-American,0
20,21,Less than 25,1,Battery On A Person Over 65,0,0,0,3,0,1,African-American,1
21,32,25 - 45,0,Battery,0,0,0,2,1,0,Caucasian,1
22,29,25 - 45,1,Video Voyeur-<24Y on Child >16,0,0,0,8,0,1,African-American,1
23,20,Less than 25,1,Possession of Cocaine,0,0,0,0,0,1,Other,1
24,50,Greater than 45,1,Viol Injunction Protect Dom Vi,0,0,0,4,0,1,African-American,0
25,32,25 - 45,0,Battery,0,0,0,0,1,1,Caucasian,0
26,29,25 - 45,1,Possession of Cocaine,0,0,0,6,0,1,African-American,1
27,22,Less than 25,0,Battery,0,0,0,1,0,1,African-American,1
28,29,25 - 45,0,Battery,0,0,0,5,0,1,African-American,1
29,30,25 - 45,1,Burglary Assault/Battery Armed,0,0,0,3,1,1,Caucasian,0
30,32,25 - 45,0,Battery,0,0,0,0,0,1,African-American,0
31,34,25 - 45,0,Battery,0,0,0,2,0,0,Other,1
32,29,25 - 45,0,Video Voyeur-<24Y on Child >16,0,0,0,0,0,1,Caucasian,0
33,29,25 - 45,0,Battery,0,0,0,2,0,1,African-American,0
34,34,25 - 45,0,Prowling/Loitering,0,0,0,0,1,1,Caucasian,0
35,30,25 - 45,0,Video Voyeur-<24Y on Child >16,0,0,0,6,0,1,African-American,1
36,27,25 - 45,1,Battery on Law Enforc Officer,0,0,0,6,0,1,African-American,1
37,29,25 - 45,1,Pos Cannabis W/Intent Sel/Del,0,0,0,3,1,1,Caucasian,1
38,29,25 - 45,1,Video Voyeur-<24Y on Child >16,0,0,0,9,0,1,African-American,1
39,54,Greater than 45,0,Battery,0,0,0,0,0,0,African-American,0
40,22,Less than 25,0,Battery,0,0,0,1,0,1,African-American,0
41,20,Less than 25,1,Possession Of Alprazolam,0,0,0,0,0,1,Other,1
42,55,Greater than 45,0,Viol Injunction Protect Dom Vi,0,0,0,0,1,1,Caucasian,0
43,52,Greater than 45,1,Viol Injunction Protect Dom Vi,0,0,0,3,0,1,African-American,0
44,35,25 - 45,0,Battery,0,0,0,0,1,1,Caucasian,0
45,22,Less than 25,1,"Poss Of 1,4-Butanediol",0,0,0,1,1,0,Caucasian,0
46,50,Greater than 45,1,Viol Injunction Protect Dom Vi,0,0,0,0,1,1,Caucasian,0
47,52,Greater than 45,1,Viol Injunction Protect Dom Vi,0,0,0,2,1,1,Caucasian,0
