layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 0 0 -0.2033840615 -0.1502916131 201
1 0 1 -0.1502916131 -0.0971991647 3874
1 0 2 -0.0971991647 -0.0441067163 7031
1 0 3 -0.0441067163 0.0089857321 5950
1 0 4 0.0089857321 0.0620781805 1129
1 0 5 0.0620781805 0.1151706289 507
1 0 6 0.1151706289 0.1682630773 124
1 0 7 0.1682630773 0.2213555257 4
1 1 0 -0.1207757900 -0.0916413486 268
1 1 1 -0.0916413486 -0.0625069072 3931
1 1 2 -0.0625069072 -0.0333724658 6944
1 1 3 -0.0333724658 -0.0042380244 6011
1 1 4 -0.0042380244 0.0248964170 977
1 1 5 0.0248964170 0.0540308584 643
1 1 6 0.0540308584 0.0831652998 34
1 1 7 0.0831652998 0.1122997412 11
1 1 8 0.1122997412 0.1414341826 1
1 2 0 -0.2460986827 -0.1944998934 128
1 2 1 -0.1944998934 -0.1429011041 2267
1 2 2 -0.1429011041 -0.0913023148 5822
1 2 3 -0.0913023148 -0.0397035255 5748
1 2 4 -0.0397035255 0.0118952638 4598
1 2 5 0.0118952638 0.0634940531 220
1 2 6 0.0634940531 0.1150928424 36
1 2 7 0.1150928424 0.1666916317 1
1 3 0 -0.0887290772 -0.0756687826 23
1 3 1 -0.0756687826 -0.0626084880 147
1 3 2 -0.0626084880 -0.0495481934 817
1 3 3 -0.0495481934 -0.0364878988 3583
1 3 4 -0.0364878988 -0.0234276042 7287
1 3 5 -0.0234276042 -0.0103673096 5608
1 3 6 -0.0103673096 0.0026929850 1240
1 3 7 0.0026929850 0.0157532796 45
1 3 8 0.0157532796 0.0288135742 37
1 3 9 0.0288135742 0.0418738688 21
1 3 10 0.0418738688 0.0549341634 7
1 3 11 0.0549341634 0.0679944580 5
1 4 0 -0.0329951881 0.2461308143 5513
1 4 1 0.2461308143 0.5252568167 5398
1 4 2 0.5252568167 0.8043828191 5760
1 4 3 0.8043828191 1.0835088215 2062
1 4 4 1.0835088215 1.3626348239 87
1 5 0 -0.0228148407 0.2884114612 5833
1 5 1 0.2884114612 0.5996377631 5652
1 5 2 0.5996377631 0.9108640650 5210
1 5 3 0.9108640650 1.2220903669 2037
1 5 4 1.2220903669 1.5333166688 88
1 6 0 -0.0250978215 0.1838617809 4863
1 6 1 0.1838617809 0.3928213833 6081
1 6 2 0.3928213833 0.6017809857 5360
1 6 3 0.6017809857 0.8107405881 2325
1 6 4 0.8107405881 1.0197001905 191
1 7 0 -0.2359021933 -0.1815818000 217
1 7 1 -0.1815818000 -0.1272614067 2654
1 7 2 -0.1272614067 -0.0729410134 6072
1 7 3 -0.0729410134 -0.0186206201 6404
1 7 4 -0.0186206201 0.0356997732 2924
1 7 5 0.0356997732 0.0900201665 452
1 7 6 0.0900201665 0.1443405598 92
1 7 7 0.1443405598 0.1986609531 5
1 8 0 -0.3033981325 -0.2489224719 91
1 8 1 -0.2489224719 -0.1944468113 1291
1 8 2 -0.1944468113 -0.1399711507 5033
1 8 3 -0.1399711507 -0.0854954901 5749
1 8 4 -0.0854954901 -0.0310198295 5952
1 8 5 -0.0310198295 0.0234558311 704
1 9 0 -0.2336883741 -0.1783549688 128
1 9 1 -0.1783549688 -0.1230215635 2062
1 9 2 -0.1230215635 -0.0676881582 5752
1 9 3 -0.0676881582 -0.0123547529 7556
1 9 4 -0.0123547529 0.0429786524 2434
1 9 5 0.0429786524 0.0983120577 726
1 9 6 0.0983120577 0.1536454630 144
1 9 7 0.1536454630 0.2089788683 17
1 9 8 0.2089788683 0.2643122736 1
1 10 0 -0.1960371209 -0.1447588153 523
1 10 1 -0.1447588153 -0.0934805097 4810
1 10 2 -0.0934805097 -0.0422022041 6584
1 10 3 -0.0422022041 0.0090761015 5649
1 10 4 0.0090761015 0.0603544071 800
1 10 5 0.0603544071 0.1116327127 409
1 10 6 0.1116327127 0.1629110183 43
1 10 7 0.1629110183 0.2141893239 2
1 11 0 -0.1473462949 -0.1153049017 509
1 11 1 -0.1153049017 -0.0832635085 3609
1 11 2 -0.0832635085 -0.0512221153 5872
1 11 3 -0.0512221153 -0.0191807221 5884
1 11 4 -0.0191807221 0.0128606711 2811
1 11 5 0.0128606711 0.0449020643 118
1 11 6 0.0449020643 0.0769434575 15
1 11 7 0.0769434575 0.1089848507 2
1 12 0 -0.0090449395 0.2609410465 4406
1 12 1 0.2609410465 0.5309270325 5881
1 12 2 0.5309270325 0.8009130185 5548
1 12 3 0.8009130185 1.0708990045 2774
1 12 4 1.0708990045 1.3408849905 211
1 13 0 -0.0067635950 0.1552236217 2813
1 13 1 0.1552236217 0.3172108384 6964
1 13 2 0.3172108384 0.4791980551 5275
1 13 3 0.4791980551 0.6411852718 3165
1 13 4 0.6411852718 0.8031724885 585
1 13 5 0.8031724885 0.9651597052 18
1 14 0 -0.1276227754 -0.0975102873 264
1 14 1 -0.0975102873 -0.0673977992 2945
1 14 2 -0.0673977992 -0.0372853111 6052
1 14 3 -0.0372853111 -0.0071728230 6577
1 14 4 -0.0071728230 0.0229396651 2509
1 14 5 0.0229396651 0.0530521532 392
1 14 6 0.0530521532 0.0831646413 55
1 14 7 0.0831646413 0.1132771294 25
1 14 8 0.1132771294 0.1433896175 1
1 15 0 -0.0329438092 0.2362712416 4883
1 15 1 0.2362712416 0.5054862924 6033
1 15 2 0.5054862924 0.7747013432 5288
1 15 3 0.7747013432 1.0439163940 2380
1 15 4 1.0439163940 1.3131314448 236
1 16 0 -0.2326861542 -0.1829569659 158
1 16 1 -0.1829569659 -0.1332277776 2613
1 16 2 -0.1332277776 -0.0834985893 6295
1 16 3 -0.0834985893 -0.0337694010 5683
1 16 4 -0.0337694010 0.0159597873 3655
1 16 5 0.0159597873 0.0656889756 377
1 16 6 0.0656889756 0.1154181639 38
1 16 7 0.1154181639 0.1651473522 1
1 17 0 0.0462286071 0.2283632197 3507
1 17 1 0.2283632197 0.4104978323 4552
1 17 2 0.4104978323 0.5926324449 6601
1 17 3 0.5926324449 0.7747670575 3781
1 17 4 0.7747670575 0.9569016701 375
1 17 5 0.9569016701 1.1390362827 4
1 18 0 0.0052078185 0.2283944412 3395
1 18 1 0.2283944412 0.4515810639 5594
1 18 2 0.4515810639 0.6747676866 5767
1 18 3 0.6747676866 0.8979543093 3690
1 18 4 0.8979543093 1.1211409320 372
1 18 5 1.1211409320 1.3443275547 2
1 19 0 -0.0120429411 0.1755940822 4291
1 19 1 0.1755940822 0.3632311055 5912
1 19 2 0.3632311055 0.5508681288 5580
1 19 3 0.5508681288 0.7385051521 2739
1 19 4 0.7385051521 0.9261421754 295
1 19 5 0.9261421754 1.1137791987 3
1 20 0 -0.2144863628 -0.1695616623 248
1 20 1 -0.1695616623 -0.1246369618 3290
1 20 2 -0.1246369618 -0.0797122613 6155
1 20 3 -0.0797122613 -0.0347875608 5309
1 20 4 -0.0347875608 0.0101371397 3741
1 20 5 0.0101371397 0.0550618402 70
1 20 6 0.0550618402 0.0999865407 7
1 21 0 -0.1292091048 -0.0999823874 176
1 21 1 -0.0999823874 -0.0707556700 3128
1 21 2 -0.0707556700 -0.0415289526 6069
1 21 3 -0.0415289526 -0.0123022352 6706
1 21 4 -0.0123022352 0.0169244822 2309
1 21 5 0.0169244822 0.0461511996 276
1 21 6 0.0461511996 0.0753779170 124
1 21 7 0.0753779170 0.1046046344 23
1 21 8 0.1046046344 0.1338313518 8
1 21 9 0.1338313518 0.1630580692 1
1 22 0 -0.0067403358 0.2399302261 3966
1 22 1 0.2399302261 0.4866007880 5695
1 22 2 0.4866007880 0.7332713499 5952
1 22 3 0.7332713499 0.9799419118 2857
1 22 4 0.9799419118 1.2266124737 346
1 22 5 1.2266124737 1.4732830356 4
1 23 0 -0.0153783459 0.0967967327 4208
1 23 1 0.0967967327 0.2089718113 6162
1 23 2 0.2089718113 0.3211468899 5427
1 23 3 0.3211468899 0.4333219685 2671
1 23 4 0.4333219685 0.5454970471 329
1 23 5 0.5454970471 0.6576721257 23
1 24 0 -0.2022143003 -0.1599041275 211
1 24 1 -0.1599041275 -0.1175939547 3118
1 24 2 -0.1175939547 -0.0752837819 5827
1 24 3 -0.0752837819 -0.0329736091 5835
1 24 4 -0.0329736091 0.0093365637 3687
1 24 5 0.0093365637 0.0516467365 93
1 24 6 0.0516467365 0.0939569093 41
1 24 7 0.0939569093 0.1362670821 7
1 24 8 0.1362670821 0.1785772549 1
1 25 0 -0.0202687044 0.2556718895 5903
1 25 1 0.2556718895 0.5316124834 5535
1 25 2 0.5316124834 0.8075530773 5460
1 25 3 0.8075530773 1.0834936712 1895
1 25 4 1.0834936712 1.3594342651 27
1 26 0 -0.1394244344 -0.1113557846 229
1 26 1 -0.1113557846 -0.0832871348 2994
1 26 2 -0.0832871348 -0.0552184850 6137
1 26 3 -0.0552184850 -0.0271498352 5412
1 26 4 -0.0271498352 0.0009188146 4019
1 26 5 0.0009188146 0.0289874644 25
1 26 6 0.0289874644 0.0570561142 1
1 26 7 0.0570561142 0.0851247640 3
1 27 0 -0.0291201935 0.1540766816 5000
1 27 1 0.1540766816 0.3372735567 6250
1 27 2 0.3372735567 0.5204704318 4811
1 27 3 0.5204704318 0.7036673069 2552
1 27 4 0.7036673069 0.8868641820 207
1 28 0 -0.0463452950 0.1950010909 6350
1 28 1 0.1950010909 0.4363474768 5778
1 28 2 0.4363474768 0.6776938627 4817
1 28 3 0.6776938627 0.9190402486 1757
1 28 4 0.9190402486 1.1603866345 117
1 28 5 1.1603866345 1.4017330204 1
1 29 0 -0.1380732184 -0.1145271093 81
1 29 1 -0.1145271093 -0.0909810002 1246
1 29 2 -0.0909810002 -0.0674348911 3924
1 29 3 -0.0674348911 -0.0438887820 6377
1 29 4 -0.0438887820 -0.0203426729 5838
1 29 5 -0.0203426729 0.0032034362 1335
1 29 6 0.0032034362 0.0267495453 14
1 29 7 0.0267495453 0.0502956544 5
1 30 0 -0.2210682775 -0.1772286127 133
1 30 1 -0.1772286127 -0.1333889479 2756
1 30 2 -0.1333889479 -0.0895492831 5543
1 30 3 -0.0895492831 -0.0457096183 5816
1 30 4 -0.0457096183 -0.0018699535 4558
1 30 5 -0.0018699535 0.0419697113 14
1 31 0 -0.0158682385 0.1601868543 4295
1 31 1 0.1601868543 0.3362419471 5924
1 31 2 0.3362419471 0.5122970399 5676
1 31 3 0.5122970399 0.6883521327 2579
1 31 4 0.6883521327 0.8644072255 341
1 31 5 0.8644072255 1.0404623183 5
1 32 0 -0.0115670567 0.1514255130 2904
1 32 1 0.1514255130 0.3144180827 6327
1 32 2 0.3144180827 0.4774106524 5400
1 32 3 0.4774106524 0.6404032221 3761
1 32 4 0.6404032221 0.8033957918 420
1 32 5 0.8033957918 0.9663883615 8
1 33 0 -0.1530704112 -0.1225351421 118
1 33 1 -0.1225351421 -0.0919998730 1885
1 33 2 -0.0919998730 -0.0614646039 6033
1 33 3 -0.0614646039 -0.0309293348 6340
1 33 4 -0.0309293348 -0.0003940657 4007
1 33 5 -0.0003940657 0.0301412034 336
1 33 6 0.0301412034 0.0606764725 75
1 33 7 0.0606764725 0.0912117416 22
1 33 8 0.0912117416 0.1217470107 4
1 34 0 -0.0254856842 0.2475641852 5239
1 34 1 0.2475641852 0.5206140546 5744
1 34 2 0.5206140546 0.7936639240 5444
1 34 3 0.7936639240 1.0667137934 2134
1 34 4 1.0667137934 1.3397636628 251
1 34 5 1.3397636628 1.6128135322 8
1 35 0 -0.0043974953 0.1991578514 3647
1 35 1 0.1991578514 0.4027131981 5390
1 35 2 0.4027131981 0.6062685448 5991
1 35 3 0.6062685448 0.8098238915 3491
1 35 4 0.8098238915 1.0133792382 298
1 35 5 1.0133792382 1.2169345849 3
1 36 0 -0.0323641718 0.2113523031 5309
1 36 1 0.2113523031 0.4550687780 5409
1 36 2 0.4550687780 0.6987852529 5838
1 36 3 0.6987852529 0.9425017278 2168
1 36 4 0.9425017278 1.1862182027 95
1 36 5 1.1862182027 1.4299346776 1
1 37 0 -0.1283939039 -0.1030753076 22
1 37 1 -0.1030753076 -0.0777567113 1371
1 37 2 -0.0777567113 -0.0524381150 5770
1 37 3 -0.0524381150 -0.0271195187 5624
1 37 4 -0.0271195187 -0.0018009224 5446
1 37 5 -0.0018009224 0.0235176739 427
1 37 6 0.0235176739 0.0488362702 126
1 37 7 0.0488362702 0.0741548665 26
1 37 8 0.0741548665 0.0994734628 7
1 37 9 0.0994734628 0.1247920591 1
1 38 0 -0.0289164462 0.0782451372 6877
1 38 1 0.0782451372 0.1854067206 6231
1 38 2 0.1854067206 0.2925683040 3794
1 38 3 0.2925683040 0.3997298874 1715
1 38 4 0.3997298874 0.5068914708 203
1 39 0 -0.0085619734 0.2329680953 3972
1 39 1 0.2329680953 0.4744981640 5737
1 39 2 0.4744981640 0.7160282327 5882
1 39 3 0.7160282327 0.9575583014 2858
1 39 4 0.9575583014 1.1990883701 366
1 39 5 1.1990883701 1.4406184388 5
1 40 0 -0.1539743166 -0.1224447866 518
1 40 1 -0.1224447866 -0.0909152566 4416
1 40 2 -0.0909152566 -0.0593857266 5764
1 40 3 -0.0593857266 -0.0278561966 5947
1 40 4 -0.0278561966 0.0036733334 2139
1 40 5 0.0036733334 0.0352028634 29
1 40 6 0.0352028634 0.0667323934 6
1 40 7 0.0667323934 0.0982619234 1
1 41 0 -0.0288740747 0.2074048531 4401
1 41 1 0.2074048531 0.4436837809 6141
1 41 2 0.4436837809 0.6799627087 5780
1 41 3 0.6799627087 0.9162416365 2266
1 41 4 0.9162416365 1.1525205643 232
1 42 0 -0.1179506211 -0.0907410027 623
1 42 1 -0.0907410027 -0.0635313843 3701
1 42 2 -0.0635313843 -0.0363217659 6052
1 42 3 -0.0363217659 -0.0091121475 6575
1 42 4 -0.0091121475 0.0180974709 1609
1 42 5 0.0180974709 0.0453070893 190
1 42 6 0.0453070893 0.0725167077 40
1 42 7 0.0725167077 0.0997263261 25
1 42 8 0.0997263261 0.1269359445 1
1 42 9 0.1269359445 0.1541455629 4
1 43 0 -0.0153138598 0.1580379463 4408
1 43 1 0.1580379463 0.3313897524 5641
1 43 2 0.3313897524 0.5047415585 6037
1 43 3 0.5047415585 0.6780933646 2407
1 43 4 0.6780933646 0.8514451707 322
1 43 5 0.8514451707 1.0247969768 5
1 44 0 -0.2858904703 -0.2239001397 565
1 44 1 -0.2239001397 -0.1619098091 3829
1 44 2 -0.1619098091 -0.0999194785 5699
1 44 3 -0.0999194785 -0.0379291479 5751
1 44 4 -0.0379291479 0.0240611827 2937
1 44 5 0.0240611827 0.0860515133 38
1 44 6 0.0860515133 0.1480418439 1
1 45 0 -0.0405943184 0.2002433219 6961
1 45 1 0.2002433219 0.4410809622 5855
1 45 2 0.4410809622 0.6819186025 4320
1 45 3 0.6819186025 0.9227562428 1633
1 45 4 0.9227562428 1.1635938831 51
1 46 0 -0.0455505817 0.1770692535 7687
1 46 1 0.1770692535 0.3996890887 5364
1 46 2 0.3996890887 0.6223089239 4345
1 46 3 0.6223089239 0.8449287591 1382
1 46 4 0.8449287591 1.0675485943 42
1 47 0 -0.2059038247 -0.1613011834 147
1 47 1 -0.1613011834 -0.1166985421 1872
1 47 2 -0.1166985421 -0.0720959008 5853
1 47 3 -0.0720959008 -0.0274932595 5930
1 47 4 -0.0274932595 0.0171093818 4479
1 47 5 0.0171093818 0.0617120231 432
1 47 6 0.0617120231 0.1063146644 98
1 47 7 0.1063146644 0.1509173057 8
1 47 8 0.1509173057 0.1955199470 1
1 48 0 -0.1049994970 -0.0647549281 766
1 48 1 -0.0647549281 -0.0245103592 7994
1 48 2 -0.0245103592 0.0157342097 6868
1 48 3 0.0157342097 0.0559787786 1765
1 48 4 0.0559787786 0.0962233475 941
1 48 5 0.0962233475 0.1364679164 454
1 48 6 0.1364679164 0.1767124853 28
1 48 7 0.1767124853 0.2169570542 4
1 49 0 -0.2206931950 -0.1733743183 621
1 49 1 -0.1733743183 -0.1260554416 4038
1 49 2 -0.1260554416 -0.0787365649 5664
1 49 3 -0.0787365649 -0.0314176882 6186
1 49 4 -0.0314176882 0.0159011885 2273
1 49 5 0.0159011885 0.0632200652 36
1 49 6 0.0632200652 0.1105389419 1
1 49 7 0.1105389419 0.1578578186 1
1 50 0 -0.0244843143 0.1973348510 5636
1 50 1 0.1973348510 0.4191540163 5707
1 50 2 0.4191540163 0.6409731816 5483
1 50 3 0.6409731816 0.8627923469 1951
1 50 4 0.8627923469 1.0846115122 43
1 51 0 -0.1412910179 -0.1020443295 294
1 51 1 -0.1020443295 -0.0627976411 3133
1 51 2 -0.0627976411 -0.0235509527 8198
1 51 3 -0.0235509527 0.0156957357 5424
1 51 4 0.0156957357 0.0549424241 915
1 51 5 0.0549424241 0.0941891125 663
1 51 6 0.0941891125 0.1334358009 148
1 51 7 0.1334358009 0.1726824893 42
1 51 8 0.1726824893 0.2119291777 2
1 51 9 0.2119291777 0.2511758661 1
1 52 0 -0.1593190456 -0.1244812571 101
1 52 1 -0.1244812571 -0.0896434686 2593
1 52 2 -0.0896434686 -0.0548056801 6184
1 52 3 -0.0548056801 -0.0199678916 5917
1 52 4 -0.0199678916 0.0148698969 3491
1 52 5 0.0148698969 0.0497076854 433
1 52 6 0.0497076854 0.0845454739 80
1 52 7 0.0845454739 0.1193832624 18
1 52 8 0.1193832624 0.1542210509 3
1 53 0 -0.0095228391 0.1852305560 3526
1 53 1 0.1852305560 0.3799839511 5619
1 53 2 0.3799839511 0.5747373462 6162
1 53 3 0.5747373462 0.7694907413 2966
1 53 4 0.7694907413 0.9642441364 538
1 53 5 0.9642441364 1.1589975315 9
1 54 0 -0.0113559576 0.1706599361 3822
1 54 1 0.1706599361 0.3526758298 5344
1 54 2 0.3526758298 0.5346917235 5978
1 54 3 0.5346917235 0.7167076172 3457
1 54 4 0.7167076172 0.8987235109 219
1 55 0 -0.0270875448 0.2302344874 6370
1 55 1 0.2302344874 0.4875565196 5642
1 55 2 0.4875565196 0.7448785518 5055
1 55 3 0.7448785518 1.0022005840 1709
1 55 4 1.0022005840 1.2595226162 44
1 56 0 -0.1231839220 -0.0798211303 1440
1 56 1 -0.0798211303 -0.0364583386 6848
1 56 2 -0.0364583386 0.0069044531 7815
1 56 3 0.0069044531 0.0502672448 1450
1 56 4 0.0502672448 0.0936300365 900
1 56 5 0.0936300365 0.1369928282 308
1 56 6 0.1369928282 0.1803556199 53
1 56 7 0.1803556199 0.2237184116 6
